id_cliente,nombre,apellido,edad,email
1,Ana,Perez,30,ana.perez@gmail.com
2,Luis,Gomez,25,luis.gomez@gmail.com
3,Maria,Lopez,22,maria.lopez@gmail.com
4,Carlos,Ramirez,28,carlos.ramirez@gmail.com
5,Laura,Fernandez,35,laura.fernandez@gmail.com
6,Pedro,Martinez,40,pedro.martinez@gmail.com
7,Sofia,Diaz,19,sofia.diaz@gmail.com
8,Andres,Castillo,33,andres.castillo@gmail.com
9,Valeria,Morales,26,valeria.morales@gmail.com
10,Diego,Mendoza,45,diego.mendoza@gmail.com
11,Juliana,Salazar,21,juliana.salazar@gmail.com
12,Santiago,Ortiz,31,santiago.ortiz@gmail.com
13,Daniela,Rojas,27,daniela.rojas@gmail.com
14,Juan,Mejia,29,juan.mejia@gmail.com
15,Camila,Barrera,24,camila.barrera@gmail.com
